page_name,page_id,party,source
PINK Limburg,1901080366774590,PvdD,NA
PvdA Haarlemmermeer,190173454467936,PvdA,NA
PvdA Den Haag,190869220945975,PvdA,NA
DWARS Wageningen Oud/Inactief,192028604154756,GroenLinks,NA
CDA Harlingen,192600774817587,CDA,NA
Jan Hopstaken Raadslid,192705081300674,PvdA,NA
CDA Neder-Betuwe,193223164173865,CDA,NA
ChristenUnie Molenlanden,1938971373084050,ChristenUnie,NA
GroenLinks Aa en Hunze,1940934655935970,GroenLinks,NA
VVD Zwolle,194216524014233,VVD,NA
Bossche VVD,194900893890599,VVD,NA
CDA Urk,195220513824326,CDA,NA
CDA Woudenberg,196310430554710,CDA,NA
VVD De Bilt,196419123885680,VVD,NA
Wetenschappelijk Instituut Statera,1965306773723580,DENK,NA
PVV Stichtse Vecht,1967914100151470,PVV,NA
D66 Beekdaelen,1970145503263770,D66,NA
De Woerdense VVD,197238087060916,VVD,NA
D66 Rotterdam,197240740326073,D66,NA
VVD Heumen,197435423736962,VVD,NA
VVD Wassenaar,197515056951719,VVD,NA
PvdA Europa,199340240080632,PvdA,NA
CDA Doetinchem,199385600271549,CDA,NA
PvdA Sluis,1995851374019790,PvdA,NA
JOVD 's-Hertogenbosch e.o.,200799316690979,VVD,NA
VVD Roosendaal,201138969999107,VVD,NA
D66 Nederweert,201175180237864,D66,NA
D66 Waalre,201821126683232,D66,NA
Wopke Hoekstra,2018408465106870,CDA,NA
Geert Wilders,202064936858448,PVV,NA
CDA Hattem,202773499768178,CDA,NA
VVD Purmerend,204112443050641,VVD,NA
VVD De Fryske Marren,204113719762337,VVD,NA
ChristenUnie West Betuwe,205242676331332,ChristenUnie,NA
JOVD Flevoland,205880866133496,VVD,NA
Esther de Lange,206205079489175,CDA,NA
CDA Overijssel,206932742776182,CDA,NA
PvdA Midden-Delfland,206998282815876,PvdA,NA
Paul Tang,208020512703248,PvdA,NA
PvdA Groningen,208032132579030,PvdA,NA
SGP-jongeren CK,208182482974377,SGP,NA
D66 Heusden,208483356011488,D66,NA
Bas Eickhout,208578955894331,GroenLinks,NA
Bas de Wit,2089589647982370,VVD,NA
D66Voerendaal,209004852638957,D66,NA
D66 Uitgeest,209381922872,D66,NA
"PerspectieF, ChristenUnie-jongeren",209648345740233,ChristenUnie,NA
CDA Uithoorn - De Kwakel,209971895842485,CDA,NA
Wethouder Haydar Erol,211016109549003,GroenLinks,NA
Catharina Rinzema,2114625695290780,VVD,NA
CDA.sonenbreugel,211527752371216,CDA,NA
ChristenUnie,211661062254003,ChristenUnie,NA
Jaco Geurts,211966142554381,CDA,NA
CDA Stede Broec,213849225325847,CDA,NA
VVD Raalte,215048268616589,VVD,NA
Partij voor de Dieren Limburg,217567158255542,PvdD,NA
50PLUS Gelderland,218046225000851,50PLUS,NA
VVD Apeldoorn,218454524993606,VVD,NA
ChristenUnie Harderwijk/Hierden,219046481529214,ChristenUnie,NA
Benni Leemhuis,219151244837835,GroenLinks,NA
PvdA Kerkrade,220138834728873,PvdA,NA
CDA Sluis,220440588148776,CDA,NA
VVD Almelo,222078441181157,VVD,NA
VVD Nijmegen,225044264301061,VVD,NA
D66 Groningen,225922380838567,D66,NA
Stefan Mees,2266283526750050,VVD,NA
GroenLinks Flevoland,227891484046459,GroenLinks,NA
D66 Leudal,228095397350613,D66,NA
Tom Berendsen,2301184920146130,CDA,NA
PvdA Hollands Kroon,230610190325538,PvdA,NA
Kim van Sparrentak,2326697260991620,GroenLinks,NA
VVD Montfoort,233207220184530,VVD,NA
De Nederweerter VVD,233854086775969,VVD,NA
PvdA Haren,234858363335659,PvdA,NA
D66 Haarlem,235718236590845,D66,NA
Jan Middendorp,236051590173019,VVD,NA
Chris van Dam,237429380031891,CDA,NA
CDA Asten,238075096364508,CDA,NA
GroenLinks Westerkwartier,241078299830628,GroenLinks,NA
ChristenUnie Ede,242128959237930,ChristenUnie,NA
Jonge Democraten Rotterdam,242841979083905,D66,NA
VVD Utrechtse Heuvelrug,243926369062604,VVD,NA
VVD Opsterland,244357102562650,VVD,NA
Leon de Lange - wethouder,246666169164239,D66,NA
De Weerter VVD,248861831896013,VVD,NA
GroenLinks Arnhem,250437457508,GroenLinks,NA
CDA-Hilversum,251158461698171,CDA,NA
SGP Jongeren Vallei & Rijn,251558268238889,SGP,NA
SP Deventer,252299414886741,SP,NA
Kati Piri,254626848046622,PvdA,NA
VVD Culemborg,254680748075982,VVD,NA
Lodewijk Asscher,254918764596191,PvdA,NA
De Oldenzaalse VVD,257508240969596,VVD,NA
D66 Tilburg,259119013936,D66,NA
Lokaal CDA gemeente Epe,259622384190321,CDA,NA
CDA Opsterland,260653317801997,CDA,NA
De Heerhugowaardse VVD,261116077361193,VVD,NA
Jeroen Recourt,261344514299889,PvdA,NA
SGP Krimpen aan den IJssel,261891187284177,SGP,NA
CDA Wijchen,262802337226392,CDA,NA
Wethouder Johannes Goossen,267091170462122,CDA,NA
D66 Westfriesland,267847256626886,D66,NA
GroenLinks Leidschendam-Voorburg,270050976436396,GroenLinks,NA
D66 Utrecht,272033265993,D66,NA
VVD Tilburg,272230419490546,VVD,NA
GroenLinks Sint-Michielsgestel,275546039601538,GroenLinks,NA
VVD Oldambt,276491789134449,VVD,NA
SP Leiden,277015828628,SP,NA
ChristenUnie Amsterdam,282108071911694,ChristenUnie,NA
VVD Noord-Holland,286480434837730,VVD,NA
PvdA Leiden,286855144753205,PvdA,NA
SP Breda,289522761094912,SP,NA
Partij voor de Dieren Noord-Holland,290134957713451,PvdD,NA
Mohammed Chahim,290597421719639,PvdA,NA
D66 Amsterdam,290810577595982,D66,NA
Burgemeester Huub Hieltjes,292042270961963,VVD,NA
D66 Venlo,293145967399764,D66,NA
PVV Fryslan,294901587336825,PVV,NA
Judith Sargentini,296489277060163,GroenLinks,NA
SP Den Haag,305271288472,SP,NA
CDA Maastricht,305525042814385,CDA,NA
VVD Goeree-Overflakkee,305812906126532,VVD,NA
D66 Vught-Helvoirt-Cromvoirt,305998839508251,D66,NA
FVD Noord-Brabant,306407210253856,FvD,NA
PvdA Reusel De Mierden,306810719374111,PvdA,NA
Forum voor Democratie Noord-Holland -FVD,309140246675079,FvD,NA
Gestelse VVD,315095378608398,VVD,NA
PvdA Borger-Odoorn,316719818346344,PvdA,NA
Jeroen Lenaers,316960281776479,CDA,NA
ChristenUnie Amersfoort,317349971611583,ChristenUnie,NA
Jonge Democraten Limburg,318076088223165,D66,NA
VVD Soest/Soesterberg,318840268197219,VVD,NA
SGP Staphorst,319519798445256,SGP,NA
CDA,320374518118,CDA,NA
Pvda Krimpen,320593364806627,PvdA,NA
CDA Eemsdelta,321817418536017,CDA,NA
CDA Doesburg,323069454456751,CDA,NA
D66 Losser,323187547697177,D66,NA
GroenLinks 's-Hertogenbosch,325974597457192,GroenLinks,NA
VVD Geldrop-Mierlo,325990707510508,VVD,NA
JOVD Twente,326639394104734,VVD,NA
CDA Zeeland,327605354041024,CDA,NA
SP Roermond,330274643781669,SP,NA
PvdA Provincie Groningen,330384780486845,PvdA,NA
Limburgse VVD,333726830018322,VVD,NA
GroenLinks Leiden,334224188495,GroenLinks,NA
Hugo de Jonge,337991513008675,CDA,NA
SP Veenendaal,339241753098101,SP,NA
VVDZeist,339859456128700,VVD,NA
CDA Goirle Riel,339932172815655,CDA,NA
PvdA Rotterdam,340871992590484,PvdA,NA
VVD Middelburg,341298732915644,VVD,NA
Jorn Lok - VVD Zutphen,341800552897219,VVD,NA
VVD Schiedam,342564449464162,VVD,NA
CDA Veenendaal,343995085744200,CDA,NA
Dennis Wiersma,344926199223477,VVD,NA
VVD Emmen,346093205489554,VVD,NA
VVD Bunschoten,346704992122344,VVD,NA
50PLUSpartij,347623668624706,50PLUS,NA
Wouter Versluijs,348378576067592,D66,NA
CDA Utrecht,348600985220459,CDA,NA
Richard de Mos,355078465348642,Code Oranje,NA
John Kerstens PvdA,355829394541247,PvdA,NA
Reinier Van Lanschot,357170858429968,Volt Nederland,NA
Vlaardingse VVD,358414441297967,VVD,NA
D66 Bommelerwaard,359300587500364,D66,NA
VVD Smallingerland,360950014036006,VVD,NA
Renaissance Instituut,361557387694730,FvD,NA
PvdA Heumen,366349027034383,PvdA,NA
PvdA Krimpenerwaard,366912353386282,PvdA,NA
VVD Scherpenzeel,367174533369302,VVD,NA
PvdA Haarlem,374461422625101,PvdA,NA
Samira Rafaela,379083586253587,D66,NA
Thierry Baudet,379837259062033,FvD,NA
